prompt,phrase
Cough,I feel like I've always got something in my throat
Open wound,My wound opened up again
Ear ache,"It started as a tinnitus, but today the pain is throbbing and unbearable."
Shoulder pain,my shoulder is hurting me
Cough,I feel fluid trying to come up when I cough.
Skin issue,I feel severe itching in the skin with redness
Cough,The feeling of coughing increases in winter's reach
Feeling dizzy,All of a sudden I felt dizzy when I stood up.
Infected wound,My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.
Open wound,I have a wound between my toes that gets better overnight and then reopens ever day when I wear dress shoes to work.
Emotional pain,I feel sad like hurt or pain
Cough,There is a constant tickle in my throat
Hair falling out,My hair is falling out in huge amount
Back pain,i have a problem in my back i cannot extend it
Infected wound,My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.
Acne,I feel deep Tingling when I touch Acne followed by bad sensation
Feeling cold,"I was diagnosed with  B12-deficiency anemia, which explains why I always felt cold."
Joint pain,It hurts when I bent my arm
Feeling dizzy,I feel dizzy when i make sudden movements
Stomach ache,Stomach pain after drinking milk
Infected wound,"I think there's something wrong with my wound, it does not seem to heal like it should."
Ear ache,I have a sharp pain in my ear
Knee pain,I feel like there is something swollen and inflamed at the back of my knee.
Hard to breath,When I walk it's hard to breath.
Blurry vision,When I stand up too quick my vision is blurry.
Joint pain,I feel a bone-on-bone pain in my knees when I climb stairs.
Ear ache,Since I went into the forest  I have pain on my ear
Feeling dizzy,When I stand up too quickly I feel as though I'm going to faint.
Back pain,When I carry heavy things i feel like breaking my back
Hair falling out,My hair is falling out after I take a shower.
Infected wound,My infected wound caused a fever
Hard to breath,I walk every day but now I get short of breath after going only a short way.
Feeling cold,"I am always cold, even when I am wearing layers"
Knee pain,Chronic bone disease at the level of the doubles of the lower Estremidades
Skin issue,I tried alot of cream but i still feel the same skin problem
Neck pain,i can't rotate my neck
Skin issue,I have this strange rash on my arm.
Emotional pain,When my grand father died I felt a hard emotional pain
Head ache,I have a headache every time I eat ice cream
Heart hurts,I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.
Shoulder pain,There feels like a swollen knot at my shoulderblade with pain shooting from that
Blurry vision,"I have a blurry vision since I woke up this morning, what could be the reason?"
Muscle pain,There is a sharp pain in my bicep
Hard to breath,i can hardly breathe
Foot ache,The arches of my feet hurt when I wear heels
Joint pain,It hurts when I bent my arm
Hair falling out,My hair is falling out in huge amount
Heart hurts,I cannot bear this squeezing sensation I have in my chest.
Ear ache,When I tried to answer the phine call I found that I can't hear the voice of the speaker
Skin issue,I have dark spots on my skin
Joint pain,I feel pain in my joint after an injury in the last football match I played.
Back pain,I feel back pain when I carry heavy things
Skin issue,Every time it rains I get hives on my belly and sides.
Shoulder pain,I have severe shoulder pain
Foot ache,I have a foot ache after running 500m with my running shoes.
Joint pain,The joints in my fingers are painful in the morning.
Cough,i have severe dry cough
Joint pain,i have pain like needles in my joints.
Emotional pain,i feel sad
Foot ache,I can't walk well I have an ache in my foot
Knee pain,My knee hurts when I walk
Infected wound,"The last time I clipped my toenails, I cut them too short and now I have an infected nail."
Back pain,I used alot of pain killer to get better but i still feel the same back pain
Back pain,My back is hurting so much.
Body feels weak,Sometimes my body feels week without reason
Foot ache,I can't walk well I have an ache in my foot
Knee pain,having difficulty moving my knee
Hair falling out,My hair always falls out and i have lost a lot of hair lately
Muscle pain,There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.
Head ache,I have a headache almost every day
Cough,Have severe cold and cough
Cough,i have severe dry cough
Internal pain,I feel pain inside and I can not identify it
Foot ache,My foot is hurting so much.
Joint pain,My ankle joint throbs when I put pressure on my foot.
Feeling cold,"Even if the temperature is high in the house,  my body is always cold"
Injury from sports,I hit my head at the basketball game.  Could I have a concussion?
Body feels weak,When I get out of bed in the morning my body feels very weak.
Open wound,I cut myself and I'm bleeding.
Acne,My face is all broken out with pimples.
Internal pain,What's the symptoms of appendicitis?
Cough,I've been over my cold for weeks but still cough every day.
Muscle pain,Every morning when I wake up my neck feels like I slept on in wrong.
Infected wound,My cut yellow or greenish-colored pus
Joint pain,I get i joint pain when i try to bend my leg or my arm
Hair falling out,My hair is falling when I am combing it.
Hair falling out,When I brush my hair I notice big clumps of hair coming out in the brush.
Skin issue,I have a dry skin
Ear ache,I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.
Feeling dizzy,"when i get up, i feel dizzy and fall down."
Joint pain,I feel a lot of pain in the joints.
Stomach ache,I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.
Hair falling out,My hair always falls out and i have lost a lot of hair lately
Neck pain,My throught is so sore.
Cough,i have severe dry cough
Knee pain,I feel pain in the knee
Joint pain,The joints in my fingers are painful in the morning.
Knee pain,My knee catches and hurts when I first stand up after sitting.
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Feeling cold,When I tried to be warm and wear more clothes I found that I was still cold
Stomach ache,I can't stand with this horrible feeling in my stomach
Feeling dizzy,I'm not good i feel dizzy
Feeling dizzy,"When I stand up, I feel like I'm going to fall down instantly"
Muscle pain,When I do hard exercises I feel great pain in my muscles.
Foot ache,My foot hurts me a lot of playing football
Body feels weak,I have tried to relief it but I can't
Feeling cold,i feel cold
Hard to breath,I feel a tightness in my chest
Joint pain,i was playing football and injuried with joint pain.
Muscle pain,When I play football I have muscle pain.
Open wound,I have a break in the skin between my thumb and index finger and it will not close.
Cough,i cant breathe
Muscle pain,"I feel pain in my legs muscles after I ran yesterday, I took some pain killers but it doesn't help."
Emotional pain,I feel suicidal.
Heart hurts,I feel heart pain when I walk a lot
Ear ache,My ear ache when I'm listening to music.
Acne,I get breakouts on my chest with red patches that get more intense when i get hot.
Knee pain,My knees ache on cold and rainy days.
Hair falling out,my hair falling out
Heart hurts,my heart hurts me
Open wound,I have a split on my thumb that will not heal.
Joint pain,"i can't move my leg, there is pain in the joint"
Cough,I feel congestion in my chest
Back pain,i feel pain in my back
Feeling cold,I think my body temperature is very low.
Stomach ache,"My stomach aches after I drink any soda drink, why?"
Blurry vision,I have a blurry vision after my head was hit yesterday.
Stomach ache,I had a sharp pain in my stomach
Skin issue,I have a rash and it itches very bad.
Open wound,"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open"
Back pain,I have a dull ache in  my lower back which makes it difficult to move
Stomach ache,After eating  I have burning sensation inside of me.
Knee pain,My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.
Foot ache,I knocked my foot and it really hurts.
Ear ache,I think there's fluid in my ears.
Joint pain,My joints ache whenever it is cold
Internal pain,Sharp pain and heavy breathing
Neck pain,I have a powerful pain inside my neck
Neck pain,I can hardly move my neck.  It hurts.
Ear ache,My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.
Knee pain,My knees seem to grind as I go up or down stairs.
Ear ache,I get an ear ache when it is cold
Infected wound,There is an injured person
Injury from sports,I was very active in sports but now my body is feeling pain.
Open wound,I cut myself and I'm bleeding.
Head ache,"My head hurts and I lose the sensation in my face, then lose sight in my eye"
Stomach ache,I have a sharp pain in my lower stomach.
Heart hurts,It feels like my heart is going to leap out of my body. It hurts.
Ear ache,I'm having a hard time hearing.
Blurry vision,When I eat sugar I notice my vision blurs.
Neck pain,There is a tingling sensation in my neck.
Open wound,My sore isn't healing well and it's been like this for two weeks.
Joint pain,There is pain in my joints. I can not bear pain
Infected wound,I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.
Shoulder pain,My right shoulder clicks when I move my arm.
Head ache,I feel great pain in the head
Feeling cold,"I am worried how cold intolerant I am, I am always shivering, even out in the sun."
Cough,There is a constant tickle in my throat
Skin issue,"My skin color on my back is red, I don't know why."
Body feels weak,My muscles feel tired
Head ache,my head hurts me badly
Skin issue,I have a rash on my skin
Feeling dizzy,I feel like the world goes round and round
Emotional pain,"I've tried reading books, but nothing can cheer me up."
Internal pain,I have general discomfort in my torso.
Hair falling out,I've noticed my hair falling out a lot lately.
Cough,i have a very bad cough
Injury from sports,I toppled over while jumping to catch the ball.
Back pain,I feel back pain when I carry heavy things
Infected wound,My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.
Emotional pain,I feel sad like hurt or pain
Ear ache,I feel pain in my ears with tinnitus
Foot ache,After an hard working day I have foot ache
Cough,I feel pain in my throat
Open wound,My wound opened up again
Joint pain,I get i joint pain when i try to bend my leg or my arm
Acne,My face is all broken out with pimples.
Internal pain,"There is an extreme pressure below my belly button at the right, which I feel every time I go out for a jog."
Infected wound,My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.
Skin issue,there is a red stain in my skin
Knee pain,I have a lot of knee pain whenever I go running.
Back pain,I have a back pain since I fell on the floor.
Open wound,I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.
Foot ache,"I have a foot ache in winter, or when it feels cold, why?"
Knee pain,"Annoyance starts suddenly, often after an injury or exercise."
Body feels weak,"i am feeling so dizzy, body is so fragile."
Acne,My chest break out with red pimples and whiteheads.
Injury from sports,I was very active in sports but now my body is feeling pain.
Feeling dizzy,When i'm awake in the morning I feel strange and have vertigo
Cough,I've been over my cold for weeks but still cough every day.
Stomach ache,After eating  I have burning sensation inside of me.
Head ache,Can't keep focus
Back pain,standing less than five minutes and my back start to ache
Hair falling out,A terrible fall in hair
Emotional pain,When I remember her I feel down
Infected wound,My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.
Hair falling out,I visited many doctors but they can't find the right treatment toget my hair back
Feeling cold,When I go to sleep I am feeling cold
Shoulder pain,My right shoulder clicks when I move my arm.
Shoulder pain,I have severe shoulder pain
Infected wound,"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid."
Ear ache,When I tried to answer the phine call I found that I can't hear the voice of the speaker
Open wound,I must see a doctor i have an open wound
Skin issue,Need to scratch my skin every minute
Body feels weak,"my cbc report indicate 10 hb, i feel tired of little work."
Cough,Every time I take a deep breath I start coughing
Joint pain,I feel pain in my joint after an injury in the last football match I played.
Stomach ache,Stomach pain after drinking milk
Blurry vision,It's hard to see things
Head ache,I feel great pain in the head
Stomach ache,I had a sharp pain in my stomach
Ear ache,There is a sharp pain in my ear whenever I do this.
Heart hurts,I cannot bear this squeezing sensation I have in my chest.
Open wound,My wound opened up again
Stomach ache,I have pain in my colon and my stomach like something cutting it
Acne,I feel deep Tingling when I touch Acne followed by bad sensation
Stomach ache,I have an indigestion
Cough,i can't breath because of  Cough
Skin issue,I have dark spots on my skin
Acne,"I never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits."
Feeling dizzy,I feel dizzy when i make sudden movements
Infected wound,My daughter had her ears pierced and one of her ear lobes is bright red and burning hot.
Foot ache,After walking I have some pain under my foot
Ear ache,My ear is ringing.
Cough,"I cough a lot when I smell perfume, what is wrong with my lungs?"
Knee pain,My knee hurts when I play squash
Cough,I have some terrible problems when i'm breathing during the night.
Emotional pain,After a breakup  I feel something strange in me.
Shoulder pain,My shoulder hurts when I try to reach something above my head.
Skin issue,I have a rash and it itches very bad.
Muscle pain,When i'm doing sport I have pain under my skin
Emotional pain,"My mind feels very sad, as if it hurts.  The way I feel in my head is awful and when I think about my break-up, I cry with sadness."
Knee pain,"When I walk up a flight of stairs, my right knee hurts."
Internal pain,I have general discomfort in my torso.
Cough,My cough is very heavy and I have mucus.
Cough,I feel pain in my throat
Knee pain,i feel pain in my knee
Back pain,I feel pain in my back
Shoulder pain,my shoulder is hurting me
Shoulder pain,I have severe shoulder pain
Head ache,fell skull is cracked like nuts
Feeling dizzy,i was travelling by ship and i feel dizzy.
Acne,I got acne when I ate chili
Infected wound,My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.
Shoulder pain,I feel a great pain in my shoulder when i try to lift something heavy
Blurry vision,When I force my eyes to view I have blurry vision.
Feeling cold,I do not know why I feel cold
Feeling cold,The warming system of my house is broken and  feel so cold
Shoulder pain,My shoulder has agreat pain
Neck pain,stiffness inability to look right or left except by moving the whole body
Joint pain,I feel a soreness in my knees when I walk
Hair falling out,Every time I comb my hair there are so many hair in my comb.
Acne,My chest acne breaks out and never clears up.
Muscle pain,When I play football I have muscle pain.
Hair falling out,My hair is falling out after I take a shower.
Injury from sports,When I played football I dislocated my shoulder
Feeling cold,"I am always cold, even when I am wearing layers"
Muscle pain,I have a hard muscle pain since i went to the gym
Joint pain,when i extend my leg there is pain in knee joint
Stomach ache,I have a great stomach ache and i can't eat any thing
Heart hurts,I cannot breathe because of this dull ache below my left shoulder.
Back pain,I feel a pain in my back when I sit on a chair for long.
Infected wound,My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.
Joint pain,I have some pain when i'm walking around my knees
Hair falling out,There are lots of hairs on my pillow in the morning.
Back pain,When I play sports  I have some burning sensation in my spine
Internal pain,I have a dull ache in my stomach.  It gets worse after I eat.
Ear ache,"I can't hear out of my ear properly, I feel like there is something in it causing irritation."
Neck pain,I can hardly move my neck.  It hurts.
Heart hurts,It feels like my heart is going to leap out of my body. It hurts.
Ear ache,I'm having a hard time hearing.
Back pain,I have shooting pains up and down my back.
Ear ache,I think there's fluid in my ears.
Feeling cold,"Even if the temperature is high in the house,  my body is always cold"
Acne,My acne is really embarassing. It's so read.
Open wound,My sore isn't healing well and it's been like this for two weeks.
Head ache,My head hurts in the back and the pain lasts all day.
Skin issue,I have a rash and it itches very bad.
Heart hurts,My heart feels like it's going to explode.
Acne,Is pimples a skin disease?
Shoulder pain,"After playing tennis,  I had a powerful sensation close to my neck"
Hair falling out,My hair is falling out in bunches.
Shoulder pain,My shoulder hurts when I try to reach something above my head.
Foot ache,I knocked my foot and it really hurts.
Skin issue,I have a scab on the back of my hand that just won't go away.
Infected wound,I have a cut that is red and swollen.
Skin issue,My skin is very dry and peeling.
Back pain,I have a dull ache in  my lower back which makes it difficult to move
Stomach ache,I have a sharp pain in my lower stomach.
Acne,Even though I'm an adult my face keeps breaking out in pimples.
Head ache,I have front head pain and when I get it the light bothers me.
Internal pain,I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.
Ear ache,I'm having a hard time hearing.
Infected wound,"I think there's something wrong with my wound, it does not seem to heal like it should."
Feeling dizzy,When I stand up too quickly I feel as though I'm going to faint.
Heart hurts,My heart is beating fast and it scares me.
Head ache,I have a dull ache in my head
Shoulder pain,I can't carry anything I have a pain in my shoulder
Hard to breath,I walk every day but now I get short of breath after going only a short way.
Head ache,i feel head ache
Ear ache,I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.
Infected wound,His infected wound was beginning to rot.
Open wound,I have an open wound in my arm
Body feels weak,My body feels weak and I tried to make it relax but it stills pain me
Body feels weak,I feel very weak in my body
Shoulder pain,I have throbing in my shoulder
Hair falling out,I feel depressed when I see my hair falling out
Hard to breath,"It is hard to breath when I am in the underground metro station, why?"
Blurry vision,I'm having a hard time reading because the letters are all fuzzy
Emotional pain,I feel a huge emotional pain after I broke up with my girlfriend.
Feeling dizzy,My head gets dizzy when I try to get up.
Infected wound,My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.
Knee pain,I could not exercise because of my knee pain
Hard to breath,I have difficulty in breathing in crowded places.
Cough,"my child has cough all night, she can't sleep"
Back pain,I have a back pain since I turned 70 years old.
Hard to breath,I feel like something is squeezing my lungs.
Knee pain,I feel pain in the knee
Joint pain,My ankle joint throbs when I put pressure on my foot.
Internal pain,I always feel like I have menstrual pains even if I don't have my period.
Acne,In highschool I had a lot of acne.
Skin issue,I have a red rash that is itchy on my skin
Joint pain,i have pain like needles in my joints.
Foot ache,My foot had been aching since last Tuesday.
Feeling cold,"I couldn't stop shaking or unclench my jaw, that's how cold I was."
Back pain,longitudinal burning line across back with hard respiratory movements
Internal pain,I feel aching on my insides.
Hair falling out,My hair always falls out and i have lost a lot of hair lately
Neck pain,My neck has been sore since the accident.
Head ache,I have a headache almost every day
Head ache,i have a migrain and i took panadol but it doesnÃ¢Ë†Å¡ÃƒÂ¯t help
Back pain,My back hurts a lot when I bend
Hard to breath,My chest hurts when I go to take a breath
Cough,Have severe cold and cough
Infected wound,My kee is swallowing which indicates i have an infected wound
Emotional pain,i feel sad
Hair falling out,I'm very worried that I'll go bald soon. Am I very sick?
Cough,I feel like I can hardly breathe unless I get what's in my lungs out
Neck pain,My throught is so sore.
Body feels weak,"My body feels weak although I eat a lot, why?"
Joint pain,my ankle is hurting me
Open wound,I cut my foot at the pool and it breaks open every day when I walk on it.
Heart hurts,"My heart hurts while I'm sad, why?"
Blurry vision,Everything looks like beeing in a smoky area.
Feeling cold,My body feels like it's in a refrigerator.
Emotional pain,"I've tried reading books, but nothing can cheer me up."
Blurry vision,Sterilizer for the eye
Hard to breath,My chest hurts when I go to take a breath
Heart hurts,"My heart hurts while I'm sad, why?"
Blurry vision,Everything looks like beeing in a smoky area.
Knee pain,I feel pain in the knee when walking
Skin issue,I have a red rash that is itchy on my skin
Skin issue,I feel like l fell in hot water
Body feels weak,"My body feels weak although I eat a lot, why?"
Internal pain,My body aches on the inside between my hips and shoulders.
Joint pain,My ankle joint throbs when I put pressure on my foot.
Ear ache,I'm not hearing well I have problem with my ear
Emotional pain,I feel emotionally crushed
Muscle pain,There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.
Head ache,I have a pain in my head
Joint pain,I have a throbbing in my joints
Muscle pain,I have a hard muscle pain since i went to the gym
Shoulder pain,I don't have full range of motion with my arms
Hard to breath,"i was diagnosed with pneumonia, i can't breath easily."
Heart hurts,The area around my heart doesn't feel good.
Knee pain,I get a knee pain when I walk a lot
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Acne,I got acne when I ate chili
Cough,I usually have a bad cough when I get flu.
Neck pain,I have a neck pain when I sit in-front of my laptop.
Heart hurts,severe pain in the upper left side of chest and may have pain to back
Back pain,I love to garden but I get a terrible twinge in my lower back when I lean over.
Joint pain,i have a pain in my elbow joint
Open wound,I had an accident and my wound was open when I arrived to hospital
Body feels weak,I don't do anything at home and still I feel exhausted.
Hard to breath,I feel very hard to breathe
Muscle pain,My lower back hurts but it improves if I stretch it
Stomach ache,I feel a burning sensation in my guts about 2 hours after each meal.
Acne,"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop."
Back pain,I can't stand up or sit down I have a pain in my back that annoys me
Shoulder pain,"When I move on my shoulder, pain shoots down my arm"
Shoulder pain,I feel a great pain in my shoulder when i try to lift something heavy
Feeling dizzy,i was travelling by ship and i feel dizzy.
Hair falling out,my hair isn't well
Internal pain,I have a pain in my stomach
Stomach ache,I have a great stomach ache and i can't eat any thing
Feeling cold,My entire body is freezing.
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Joint pain,I feel a soreness in my knees when I walk
Muscle pain,There is a sharp pain in my bicep
Hard to breath,i can hardly breathe
Injury from sports,I toppled over while jumping to catch the ball.
Muscle pain,When I wake up in the morning I feel a soreness in my body
Ear ache,I get an ear ache when it is cold
Foot ache,i have a great pain in my foot like thrombing pain with relaxing my pain releif
Head ache,I feel great pain in the head
Cough,I feel pain in my throat
Stomach ache,I made lots and lots of analysis to know the main reason for my stomach ache
Hair falling out,I have a hair shortage
Joint pain,I fell a stiffness in my elbows and shoulders
Cough,I'm suffering from sharp cough Accompanied by  phlegm
Skin issue,i have issue with my skin
Open wound,He was discovered to have an open wound.
Emotional pain,When I think of my parents I feel pain
Feeling cold,"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!"
Joint pain,I feel a sharp pain in my ankle joint when I stand.
Cough,Sometimes I cough because I'm a smoker
Foot ache,My foot hurts me a lot of playing football
Hair falling out,My hair is falling when I am combing it.
Ear ache,The pain in my ear is unbearable.
Internal pain,Chronic bowel Pain
Stomach ache,"My stomach aches after I drink any soda drink, why?"
Knee pain,My knees ache on cold and rainy days.
Ear ache,I had a cold the last time I travelled by plane and I still have a discomfort in my ears.
Skin issue,My skin is itching.
Injury from sports,I feel pain in my right shoulder after the tennis match.
Hair falling out,My shower drain is full of hair every time.
Internal pain,I have a pain in my stomach
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Shoulder pain,I feel a great pain in my shoulder when i try to lift something heavy
Acne,"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop."
Heart hurts,I felt my heart hurts when I ran for along distance
Shoulder pain,I don't have full range of motion with my arms
Neck pain,My neck is annoying me I can't sleep bacause of it
Stomach ache,"My stomach aches after I drink any soda drink, why?"
Shoulder pain,"When I move my shoulder, it's like lightning is being sent through my shoulder"
Hair falling out,I have a hair shortage
Neck pain,I feel a pain in my neck
Back pain,i feel pain in my back
Feeling cold,I think my body temperature is very low.
Joint pain,I have a pain in my joint
Acne,I can't get a girlfriend because of my acne.
Feeling dizzy,"When I go to stand, my head starts swirling"
Injury from sports,I was kicked in the head playing soccer last night.
Knee pain,Chronic bone disease at the level of the doubles of the lower Estremidades
Acne,I have pimples in patches along with a lot of redness on my face.
Skin issue,I have acne in my face and other problema in my derma like itching
Acne,"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop."
Blurry vision,I have blurry vision after I used a wrong medicine.
Heart hurts,I have terrible pain in my heart
Knee pain,I get a knee pain when I walk a lot
Injury from sports,i have injured myself during the soccer match
Neck pain,My neck is annoying me I can't sleep bacause of it
Muscle pain,My shoulder muscle hurts when I try to reach up.
Blurry vision,"I have a blurry vision during my swimming training in the pool, why?"
Internal pain,I have a pain in my stomach
Knee pain,My knees hurt so bad to walk that I stay sitting more than I should.
Muscle pain,I do not feel better in my muscles
Infected wound,His infected wound was beginning to rot.
Acne,I used to have acne when I was 15 years old
Emotional pain,heavy breath with fatigue
Open wound,glass broken and wound my leg badly the wound is so wide
Blurry vision,i can't see well
Joint pain,I have a throbbing in my joints
Acne,I hate my acne.
Injury from sports,My back got injured while i was lifting at the gym
Shoulder pain,I feel a great pain in my shoulder when i try to lift something heavy
Hard to breath,I'm not feeling good I can't take my breath
Muscle pain,I had alot of exercise yesterday so i feel sharp muscle pains
Heart hurts,I cannot breathe because of this dull ache below my left shoulder.
Knee pain,My knees swell right below the knee cap and hurt when I put weight on them.
Hair falling out,when i was washing my hair it was falling out heavily
Muscle pain,My muscles in my lower back are aching.
Emotional pain,I feel pain when parting loved ones
Open wound,I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.
Shoulder pain,I have throbing in my shoulder
Infected wound,My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.
Head ache,fell skull is cracked like nuts
Hard to breath,"i was diagnosed with pneumonia, i can't breath easily."
Joint pain,i have a pain in my elbow joint
Feeling cold,The warming system of my house is broken and  feel so cold
Cough,I can`t stop coughing.
Shoulder pain,i have shoulder pain after doing any home work.
Cough,I have a lot of mucus when I cough.
Feeling dizzy,When I stand up too quickly I feel as though I'm going to faint.
Stomach ache,I have pain in my colon and my stomach like something cutting it
Infected wound,"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid."
Stomach ache,Stomach pain after drinking milk
Hard to breath,When I walk it's hard to breath.
Joint pain,When I play football I have joint pain.
Feeling cold,my temperature dropped and my body get synosed
Stomach ache,I feel so sore in my stomach area.
Skin issue,When i get up i see my skin vague
Cough,"I cough a lot when I smell perfume, what is wrong with my lungs?"
Feeling cold,"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!"
Acne,I have pimples on my back.
Hair falling out,When I tried to take care if my hair I found that it is falling out
Open wound,"I fell through a window while I was cleaning it and I have a shard of glass stuck in my left eye, I think it is pretty serious"
Feeling dizzy,I feel lightheaded
Feeling cold,I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.
Blurry vision,I noticed an important decrease in my vision when I try to look at things up close.
Infected wound,I'm not feeling good I get infection wound
Muscle pain,"I feel pain in my legs muscles after I ran yesterday, I took some pain killers but it doesn't help."
Infected wound,"The last time I clipped my toenails, I cut them too short and now I have an infected nail."
Back pain,My back hurts me and i can't bend it or walk
Heart hurts,I feel heart pain when I walk a lot
Infected wound,My husband has a spot on his lip that he though was cold sore but now it has broken open and leaks fluid all day.
Open wound,I had an accident and my wound was open when I arrived to hospital
Blurry vision,i was watching tv and suddenly have blurry vision
Muscle pain,I feel muscle pain every time I make an extra effort.
Back pain,I love to garden but I get a terrible twinge in my lower back when I lean over.
Head ache,I have a headache every time I eat ice cream
Hair falling out,itch at front and center of scalp
Hair falling out,Every time I comb my hair there are so many hair in my comb.
Injury from sports,"I started taking swimming lessons and I guess I swallowed too much water through my nose, because this sinusitis is killing me now."
Blurry vision,i was watching tv and suddenly have blurry vision
Open wound,I have an open wound in my arm
Back pain,my back hurts me a lot
Body feels weak,"My body feels weak after my first day in the gym, why?"
Joint pain,When I play football I have joint pain.
Infected wound,I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.
Knee pain,My kneecap feels like it is grating bone on bone when I walk.
Joint pain,I feel pain in my knee when I climb the stairs.
Emotional pain,I feel pain when i think of her
Acne,there is acne on my face
Foot ache,"I have a foot ache in winter, or when it feels cold, why?"
Internal pain,"There is an extreme pressure below my belly button at the right, which I feel every time I go out for a jog."
Back pain,I have a back pain since I fell on the floor.
Body feels weak,"It's hard to stand up, and I'm moving very slowly"
Neck pain,my neck hurts me and i can't look down or up
Infected wound,My grandson cut his foot on a seashell in the ocean and now the foot is turning gray and is puffy.
Feeling dizzy,I feel like the room is spinning
Hair falling out,I lose a lot of my hair
Knee pain,"Annoyance starts suddenly, often after an injury or exercise."
Emotional pain,"i feel hurt, lot of pain in my heart"
Heart hurts,I feel increased heart rate with prick
Infected wound,My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.
Feeling dizzy,when i wake up in the morning i feel dizzy
Foot ache,My foot had been aching since last Tuesday.
Feeling cold,"I couldn't stop shaking or unclench my jaw, that's how cold I was."
Infected wound,My kee is swallowing which indicates i have an infected wound
Cough,My lungs feel heavy like they are filled with mucus
Acne,I have pimples on my back.
Head ache,i have a migrain and i took panadol but it doesnÃ¢Ë†Å¡ÃƒÂ¯t help
Body feels weak,I've always been very active but now I just don't have the strength or energy to go for even a short walk.
Internal pain,My body aches on the inside between my hips and shoulders.
Skin issue,I feel like l fell in hot water
Joint pain,I feel a great pain in my shoulder joint and it does not go away
Cough,Have severe cold and cough
Ear ache,i have a problem in my middle ear made by infection
Feeling dizzy,When I stand I feel dizzy I do not know why
Joint pain,My joints feel swollen
Neck pain,My neck has been sore since the accident.
Joint pain,I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.
Infected wound,I'm not feeling good I get infection wound
Injury from sports,i'm injured i can't play sports
Knee pain,I had a pain in my knee when I was swimming
Skin issue,I have found some issues in my skin and tried to use cream but it doesn't get better
Foot ache,After an hard working day I have foot ache
Cough,I feel like I can hardly breathe unless I get what's in my lungs out
Feeling dizzy,"Every time I make an effort, I felt dizzy."
Internal pain,I feel aching on my insides.
Head ache,my head hurts me badly
Skin issue,Every time it rains I get hives on my belly and sides.
Foot ache,My foot had been aching since last Tuesday.
Head ache,i have a migrain and i took panadol but it doesnÃ¢Ë†Å¡ÃƒÂ¯t help
Head ache,I have a headache almost every day
Injury from sports,When I was young I had an injury from sports in my knee.
Feeling dizzy,i feel dizzy after severe diarrhea
Heart hurts,Oh my heart hurts me I tried to be calm and I can't
Knee pain,"Annoyance starts suddenly, often after an injury or exercise."
Muscle pain,My arm hurts when I stretch
Acne,I used to have acne when I was 15 years old
Internal pain,I have an internal pain I cannot describe
Foot ache,I love to walk and be outside but the bottoms of my feet get sore so quickly.
Foot ache,"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel."
Injury from sports,When I played football I dislocated my shoulder
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Joint pain,I feel joint pain every time I move
